"";"v1";"v2";"v3";"v4";"v5";"v6";"v7";"v8";"v9";"v10";"v11";"v12";"v13";"v14";"v15";"v16";"v17";"classLabel";"predict"
"55";"b";39,92;0,000054;"y";-3,630672139;0,742050859;0,5;"t";"t";3;"f";"g";200;1000;2000000;NA;1;"yes.";"yes."
"56";"b";25,33;0,000058;"u";2,166554125;0,578052613;0,29;"t";"t";7;"t";"g";96;5124;960000;NA;0;"yes.";"yes."
"57";"b";35,17;0,00045;"u";1,614543223;0,519255008;5,75;"f";"f";0;"t";"s";711;0;7110000;NA;1;"yes.";"no."
"58";"b";41,75;0,000096;"u";4,988797933;0,6272412;2,5;"t";"f";0;"f";"g";510;600;5100000;NA;0;"yes.";"yes."
"59";"b";54,33;0,000675;"u";0,05632635;0,929584844;2,625;"t";"t";11;"t";"g";0;284;0;"t";1;"yes.";"yes."
"60";"b";29,67;0,0001415;"u";-4,70603623;0,852041626;0,75;"t";"t";1;"f";"g";240;100;2400000;NA;0;"yes.";"yes."
"61";"a";40,33;0,000754;"y";-3,471474811;0,786348059;8;"t";"t";14;"f";"g";0;2300;0;"t";1;"yes.";"yes."
"62";"b";30,17;0,00005;"u";0,020501164;1,002430947;1,75;"t";"t";11;"f";"g";32;540;320000;NA;0;"yes.";"yes."
"63";"b";25;0,0012;"u";-4,255683373;0,569105208;2,25;"t";"t";2;"t";"g";120;5;1200000;"t";1;"no.";"yes."
"64";"a";38,92;0,0001665;"u";3,066371405;0,183222779;0,25;"f";"f";0;"f";"g";0;390;0;"f";0;"no.";"no."
"65";"a";22,67;0,000079;"u";-0,705691534;0,647696105;0,085;"f";"f";0;"f";"g";144;0;1440000;NA;1;"no.";"no."
"66";"a";19,58;0,0000665;"y";-2,647441057;0,508163712;1;"f";"t";1;"f";"g";2000;2;20000000;NA;0;"no.";"no."
"67";"b";16,5;0,0000125;"u";-3,374250217;0,555181604;0,165;"f";"f";0;"f";"g";132;0;1320000;NA;1;"no.";"no."
"68";"b";16,25;0;"y";-4,677869976;0,706444291;0,25;"f";"f";0;"f";"g";60;0;600000;"f";0;"no.";"no."
"69";"b";74,83;0,0019;"y";2,503322894;0,548969538;0,04;"f";"t";2;"f";"g";0;351;0;NA;1;"no.";"no."
"70";"b";47,83;0,0004165;"u";-3,427243426;0,836138403;0,085;"f";"f";0;"t";"g";520;0;5200000;NA;0;"no.";"no."
"71";"b";31,08;0,0003085;"u";2,554207884;0,744670266;2,5;"f";"t";2;"t";"g";160;41;1600000;"t";1;"no.";"no."
"72";"a";19,17;0,0000585;"y";-0,189384122;1,03105595;0,585;"t";"f";0;"t";"g";160;0;1600000;NA;0;"no.";"yes."
"73";"b";17,08;0,000025;"u";-0,48450232;0,595741032;0,335;"f";"t";4;"f";"g";160;8;1600000;"t";1;"no.";"no."
"74";NA;32,25;0,00015;"u";0,601351629;0,587584468;0,25;"f";"f";0;"t";"g";372;122;3720000;"f";0;"no.";NA
"75";"b";19;0,000175;"y";4,971082839;0,602545146;2,335;"f";"f";0;"t";"g";112;6;1120000;NA;1;"no.";"no."
"76";"a";22,92;0,000125;"u";4,928012118;0,735622169;0,25;"f";"f";0;"t";"g";120;809;1200000;"f";0;"no.";"no."
"77";"b";30,67;0,00025;"u";0,48808024;0,720845035;2,25;"f";"f";0;"t";"s";340;0;3400000;NA;1;"no.";"no."
"78";"a";30,58;0,0010665;"u";2,263053951;0,302799722;0,085;"f";"t";12;"t";"g";129;3;1290000;NA;0;"no.";"no."
"79";"b";19,58;0,0000585;"u";1,323788853;0,685263739;0;"f";"t";3;"f";"g";350;769;3500000;"t";1;"no.";"no."
"80";"b";20,42;0;NA;-1,658134584;0,807596275;0;"f";"f";0;"f";"p";NA;0;NA;"f";0;"no.";NA
"81";"b";29,67;0,000075;"y";4,915428911;0,74496869;0,04;"f";"f";0;"f";"g";240;0;2400000;NA;1;"no.";"no."
"82";"a";15,92;0,0002875;"u";-3,829921004;0,37788495;0,085;"f";"f";0;"f";"g";120;0;1200000;"f";0;"no.";"no."
"83";"b";21,58;0,000079;"y";2,691807435;0,401379963;0,665;"f";"f";0;"f";"g";160;0;1600000;NA;1;"no.";"no."
"84";"b";24,08;0,0009;"u";-2,098894105;0,609553197;0,25;"f";"f";0;"t";"g";0;0;0;NA;0;"no.";"no."
"85";"a";28,58;0,000354;"u";-1,801671686;0,692612327;0,5;"t";"f";0;"t";"g";171;0;1710000;"f";1;"no.";"yes."
"86";"b";NA;0,0000375;"u";-1,677221204;0,770857154;0,875;"t";"f";0;"t";"s";928;0;9280000;"f";0;"no.";NA
"87";"b";28,17;0,0000125;"y";-1,161790087;0,579511993;0,085;"f";"f";0;"f";"g";216;2100;2160000;"f";1;"no.";"no."
"88";"b";22,58;0,00015;"y";-1,195127787;0,29801497;0,54;"f";"f";0;"t";"g";120;67;1200000;NA;0;"no.";"no."
"89";"a";17,33;0,00095;"u";-3,743853043;0,491715515;1,75;"f";"t";10;"t";"g";0;10;0;"t";1;"no.";"no."
"90";"a";16;0,0000165;"u";-2,965815607;0,780825954;1;"f";"t";2;"t";"g";320;1;3200000;NA;0;"no.";"no."
"91";"b";22,08;0,0002335;"u";0,516585589;-0,038308814;0,75;"f";"f";0;"f";"g";180;0;1800000;"f";1;"no.";"no."
"92";"b";34;0,0005085;"y";3,15878578;0,268079862;1,085;"f";"f";0;"t";"g";480;0;4800000;"f";0;"no.";"no."
"93";"b";19,42;0,00015;"y";-4,792701881;0,703465809;2;"t";"f";0;"t";"g";100;20;1000000;"f";1;"no.";"yes."
"94";"b";43,17;0,000225;"u";2,414032298;0,49211495;0,75;"t";"f";0;"f";"g";560;0;5600000;"f";0;"no.";"yes."
"95";"b";63,33;0,000054;"u";4,274947939;0,807901667;0,585;"t";"t";3;"t";"g";180;0;1800000;"t";1;"no.";"yes."
"96";"b";24,58;0,000125;"u";3,045797125;0,477262571;0,25;"f";"f";0;"f";"g";110;0;1100000;NA;0;"no.";"no."
"97";"b";23,92;0,0000585;"y";-3,397816995;0,688941523;0,125;"f";"f";0;"f";"g";240;1;2400000;"f";1;"no.";"no."
"98";"b";17,08;0,0000085;"y";-1,863453148;0,705943879;0,04;"f";"f";0;"f";"g";140;722;1400000;NA;0;"no.";"no."
"99";"a";21,92;0,0011665;"u";0,968241857;0,701118481;0,085;"f";"f";0;"f";"g";320;5;3200000;NA;1;"no.";"no."
"100";"b";34,83;0,0004;"u";3,536603034;0,481869625;12,5;"t";"f";0;"t";"g";NA;0;NA;NA;0;"no.";NA
"101";"b";54,42;0,00005;"y";3,313421928;0,715587033;3,96;"t";"f";0;"f";"g";180;314;1800000;"f";1;"yes.";"no."
"102";"b";29,58;0,00045;"u";-3,981880061;0,780769455;7,5;"t";"t";2;"t";"g";330;0;3300000;NA;0;"yes.";"yes."
"103";"a";26,08;0,0008665;"u";-2,477354733;0,612897022;1,415;"t";"f";0;"f";"g";160;150;1600000;"f";1;"yes.";"yes."
"104";"a";33,08;0,0004625;"u";-3,12061816;0,365589835;1,625;"t";"t";2;"f";"g";0;0;0;"t";0;"yes.";"yes."
"105";"b";24,33;0,0006625;"y";-3,922777011;0,589913358;5,5;"t";"f";0;"t";"s";100;0;1000000;"f";1;"yes.";"yes."
"106";"b";48,58;0,00065;"u";0,718699731;0,810224533;6;"t";"f";0;"t";"g";350;0;3500000;"f";0;"yes.";"yes."
"107";"b";48,25;0,0025085;"u";-1,724784032;0,85634837;1,75;"t";"t";3;"f";"g";120;14;1200000;"t";1;"yes.";"yes."
"108";"b";34,08;0,000008;"y";-0,028338828;0,706354436;0,04;"t";"t";1;"t";"g";280;2000;2800000;"t";0;"yes.";"yes."
"109";"b";34,5;0,000404;"y";-0,944126553;0,718472423;8,5;"t";"t";7;"t";"g";195;0;1950000;"t";1;"yes.";"yes."
"110";"b";39,08;0,0006;"u";4,084205925;0,609259789;1,29;"t";"t";5;"t";"g";108;1097;1080000;NA;0;"yes.";"yes."
"111";"b";41,42;0,0005;"u";1,005307934;0,863923487;5;"t";"t";6;"t";"g";470;0;4700000;"t";1;"yes.";"yes."
"112";"b";27,25;0,0001665;"u";-3,403563288;0,818611838;5,085;"t";"t";9;"f";"g";399;827;3990000;NA;0;"yes.";"yes."
"113";"b";21,83;0,000025;"u";2,27101163;0,62995645;0,665;"t";"f";0;"t";"g";0;0;0;NA;1;"yes.";"yes."
"114";"b";39,17;0,0001625;"u";0,508608737;0,797237202;1,5;"t";"t";10;"f";"g";186;4700;1860000;NA;0;"yes.";"yes."
"115";"a";28,75;0,000375;"u";-1,071607922;0,675912824;1,085;"t";"t";1;"t";"g";371;0;3710000;"t";1;"yes.";"yes."
"116";"b";42;0,000979;"u";0,748151357;1,181492742;7,96;"t";"t";8;"f";"g";0;0;0;"t";0;"yes.";"yes."
"117";"b";38,58;0,0003335;"u";3,445722258;1,020897868;4;"t";"t";14;"f";"g";383;1344;3830000;NA;1;"yes.";"yes."
"118";"b";39,58;0,0013915;"u";-1,854866843;0,951095671;8,625;"t";"t";6;"t";"g";70;0;700000;NA;0;"yes.";"yes."
"119";"b";19,33;0,00095;"u";3,517932063;1,125362469;1;"t";"f";0;"t";"g";60;400;600000;NA;1;"yes.";"yes."
"120";"b";20,17;0,000817;"u";-3,632050506;0,339292121;1,96;"t";"t";14;"f";"g";60;158;600000;NA;0;"yes.";"yes."
"121";"a";27,42;0,00145;"u";-3,487937027;0,971257442;3,085;"t";"t";1;"f";"g";120;11;1200000;NA;1;"yes.";"yes."
"122";"b";57,42;0,00085;"u";0,793148514;0,69760972;7;"t";"t";3;"f";"g";0;0;0;NA;0;"yes.";"yes."
"123";"a";30;0,000529;"u";-0,795214293;1,054906535;2,25;"t";"t";5;"t";"g";99;500;990000;NA;1;"yes.";"yes."
"124";"b";47,67;0,00025;"u";2,182542249;0,676227435;2,5;"t";"t";12;"t";"g";410;2510;4100000;NA;0;"yes.";"yes."
"125";"b";33,5;0,000175;"u";-3,399689537;0,588439056;4,5;"t";"t";4;"t";"g";253;857;2530000;"t";1;"yes.";"yes."
"126";"b";25;0,00125;"u";-1,645400955;0,552405177;3;"t";"f";0;"t";"o";20;0;200000;"f";0;"yes.";NA
"127";"b";22,67;0,0001585;"y";-3,839222749;0,623116792;3,085;"t";"t";6;"f";"g";80;0;800000;NA;1;"yes.";"yes."
"128";"b";41;0,000004;"u";-1,773678311;0,802421105;0,04;"f";"t";1;"f";"s";560;0;5600000;NA;0;"yes.";"no."
"129";"a";20,5;0,0011835;"u";4,182223603;1,143681276;6;"t";"f";0;"f";"g";340;0;3400000;NA;1;"yes.";"yes."
"130";"a";38,25;0,0006;"u";-1,306656003;0,490963376;1;"t";"f";0;"t";"g";0;0;0;"f";0;"yes.";"yes."
"131";"b";76,75;0,002229;"u";1,226724468;0,365572579;12,75;"t";"t";1;"t";"g";0;109;0;"t";1;"yes.";"yes."
"132";"b";32,42;0,0002165;"y";0,069618211;0,695065563;0;"f";"f";0;"f";"g";120;0;1200000;"f";0;"no.";"no."
"133";"b";18,17;0,000246;"u";-1,860123111;0,414555981;0,96;"f";"t";2;"t";"g";160;587;1600000;NA;1;"no.";"no."
"134";"b";NA;0,00005;"u";-1,565618559;0,694437056;0,835;"t";"f";0;"t";"s";320;0;3200000;NA;0;"no.";NA
"135";"a";25,25;0,00125;"u";1,785934919;0,467499516;1;"f";"f";0;"t";"g";180;1062;1800000;"f";1;"no.";"no."
"136";"b";28,58;0,0003625;"u";-2,713667387;0,631285961;0,25;"f";"f";0;"t";"g";100;0;1000000;NA;0;"no.";"no."
"137";"b";39,5;0,0001625;"u";-3,421178043;0,848181586;1,5;"f";"f";0;"f";"g";0;316;0;"f";1;"no.";"no."
"138";"a";25,33;0,0002085;"u";-1,438704114;0,527730474;2,75;"t";"f";0;"t";"g";360;1;3600000;"f";0;"no.";"yes."
"139";"b";25,58;0,0000335;"u";-0,94131384;0,988176659;3,5;"f";"f";0;"t";"g";340;0;3400000;NA;1;"no.";"yes."
"140";"b";31,83;0,00025;"u";2,867909335;0,605641737;7,5;"t";"f";0;"t";"g";523;0;5230000;"f";0;"no.";"yes."
"141";"a";22,5;0,00085;"u";2,483761068;0,661420055;1,75;"t";"t";10;"f";"g";80;990;800000;"t";1;"no.";"yes."
"142";"a";33,75;0,000075;"u";-0,449961899;0,568004855;1;"t";"t";3;"t";"g";212;0;2120000;"t";0;"no.";"yes."
"143";"a";19,17;0,0005415;"u";1,421072166;0,817373365;0,29;"f";"f";0;"f";"g";80;484;800000;"f";1;"no.";"no."
"144";"a";51,92;0,00065;"u";0,409991562;0,612353969;3,085;"f";"f";0;"t";"g";73;0;730000;NA;0;"no.";"no."
"145";"a";20,42;0,00105;"y";2,703409644;0,761438891;0;"f";"f";0;"t";"g";154;32;1540000;NA;1;"no.";"no."
"146";"a";24,5;0,000175;"y";3,135450066;0,457674658;0,165;"f";"f";0;"f";"g";132;0;1320000;NA;0;"no.";"no."
"147";"a";19,75;0,000075;"u";-0,663292797;0,629336701;0,795;"t";"t";5;"t";"g";140;5;1400000;NA;1;"no.";"yes."
"148";"b";34;0,00055;"y";-4,290703547;0,52974441;1,5;"f";"f";0;"t";"g";60;0;600000;"f";0;"no.";"no."
"149";"a";25;0,0011;"y";2,243126461;0,213679067;4,5;"t";"f";0;"f";"g";120;0;1200000;"f";1;"no.";"yes."
"150";"b";34,58;0;NA;-2,741852966;0,812807852;0;"f";"f";0;"f";"p";NA;0;NA;NA;0;"no.";NA
"151";NA;26,5;0,000271;"y";0,40643061;0,608029034;0,085;"f";"f";0;"f";"s";80;0;800000;"f";1;"no.";NA
"152";"a";27,58;0,0003;"u";-3,923330193;0,551350103;2,79;"f";"t";1;"t";"g";280;10;2800000;NA;0;"no.";"no."
"153";"b";NA;0,000004;"y";2,491412081;0,60654177;4,25;"f";"f";0;"t";"g";460;0;4600000;NA;1;"no.";NA
"154";"b";35,58;0,000075;"u";-4,538305763;0,722393866;1,5;"f";"f";0;"t";"g";231;0;2310000;"f";0;"no.";"yes."
"155";"a";16,92;0,00005;"u";-4,475137654;0,901320613;0,165;"f";"t";6;"t";"g";240;35;2400000;NA;1;"no.";"no."
"156";"b";48,08;0,000375;"u";-2,137473666;0,677396677;1;"f";"f";0;"f";"g";100;2;1000000;"f";0;"no.";"no."
"157";"b";36,17;0,000042;"y";1,216896754;0,426451153;0,29;"f";"f";0;"t";"g";309;2;3090000;NA;1;"no.";"no."
"158";"b";36,17;0,00055;"u";-0,866553031;0,547564932;5;"f";"f";0;"f";"g";210;687;2100000;NA;0;"no.";"no."
"159";"b";17,67;0,000446;"u";-1,747368812;0,674642051;0,25;"f";"f";0;"f";"s";80;0;800000;NA;1;"no.";"no."
"160";"b";33,58;0,0000335;"y";-3,752708365;0,875735445;0,085;"f";"f";0;"f";"g";180;0;1800000;NA;0;"no.";"no."
"161";"a";33,92;0,0001585;"y";1,037939095;0,956077821;0;"t";"f";0;"f";"g";320;0;3200000;"f";1;"no.";"yes."
"162";"a";22,5;0,0000415;"u";1,183708077;0,746322605;0,335;"f";"f";0;"t";"s";144;0;1440000;"f";0;"no.";"no."
"163";"a";56,83;0,000425;"y";-1,036773715;0,622438832;5;"f";"f";0;"t";"g";0;4;0;"f";1;"no.";"no."
"164";"b";27,75;0,000129;"u";-3,541483956;0,394386939;0,25;"f";"f";0;"t";"s";140;0;1400000;NA;0;"no.";"no."
"165";"b";17,42;0,00065;"u";3,499949083;0,349929831;0,125;"f";"f";0;"f";"g";60;100;600000;"f";1;"no.";"no."
"166";"b";41,17;0,0001335;"u";-3,17709886;0,676668422;0,165;"f";"f";0;"f";"g";168;0;1680000;NA;0;"no.";"no."
"167";"b";27,25;0,0000625;"u";-0,136603415;0,4553318;0,455;"t";"f";0;"t";"g";200;0;2000000;NA;1;"no.";"yes."
"168";"b";36,33;0,000379;"u";-4,648249906;0,825261523;1,165;"t";"f";0;"t";"g";200;0;2000000;"f";0;"no.";"yes."
"169";"b";34,17;0,000275;"u";3,571110463;0,607930682;2,5;"f";"f";0;"t";"g";232;200;2320000;NA;1;"no.";"no."
"170";"b";24,17;0,0000875;"u";3,829822566;0,713176023;4,625;"t";"t";2;"t";"g";520;2000;5200000;"t";0;"yes.";"yes."
"171";"b";39,25;0,00095;"u";-1,654066318;1,01486961;6,5;"t";"t";14;"f";"g";240;4607;2400000;NA;1;"yes.";"yes."
"172";"b";26,17;0,000025;"u";4,081281137;0,82538366;0;"t";"f";0;"t";"g";0;0;0;NA;0;"yes.";"yes."
"173";"b";22,75;0,0011;"u";-4,711925103;0,77429664;2,5;"t";"t";7;"t";"g";100;809;1000000;NA;1;"yes.";"yes."
"174";NA;20,42;0,00075;"u";0,525192001;0,60956351;1,5;"t";"t";1;"f";"g";160;234;1600000;"t";0;"yes.";NA
"175";"b";48,17;0,00035;"u";-0,187594185;0,543384279;3,5;"t";"f";0;"f";"s";230;0;2300000;NA;1;"yes.";"yes."
"176";"b";22,83;0,0003;"u";2,622122192;0,869880383;1,29;"t";"t";1;"f";"g";260;800;2600000;NA;0;"yes.";"yes."
"177";"a";46,08;0,0003;"u";-2,676139213;0,554836415;2,375;"t";"t";8;"t";"g";396;4159;3960000;"t";1;"yes.";"yes."
"178";"b";23,33;0,00015;"u";-3,56175164;0,557213841;1,415;"t";"f";0;"f";"g";422;200;4220000;"f";0;"yes.";"yes."
"179";"b";43;0,000029;"y";1,201601641;0,789424559;1,75;"t";"t";8;"f";"g";100;375;1000000;NA;1;"yes.";"yes."
"180";"b";43,08;0,0000375;"y";-3,436638734;0,845206458;0,375;"t";"t";8;"t";"g";300;162;3000000;"t";0;"yes.";"yes."
"181";"a";17,58;0,0009;"u";3,584590426;0,823622919;1,375;"t";"f";0;"t";"g";0;0;0;NA;1;"yes.";"yes."
"182";"b";40,25;0,00215;"u";-4,492338598;0,93670228;20;"t";"t";11;"f";"g";0;1200;0;"t";0;"yes.";"yes."
"183";"b";42,08;0,000104;"u";-4,990239635;0,63395905;5;"t";"t";6;"t";"g";500;10000;5000000;NA;1;"yes.";"yes."
"184";"a";64,08;0,0000165;"u";-2,512472619;0,587512876;0;"t";"t";1;"f";"g";232;100;2320000;NA;0;"yes.";"yes."
"185";"a";21,67;0,00115;"y";-0,103517501;0,725123458;0;"t";"t";11;"t";"g";0;0;0;NA;1;"yes.";"yes."
"186";"b";27,83;0,00015;"u";1,784201735;0,533968808;2;"t";"t";11;"t";"g";434;35;4340000;"t";0;"yes.";"yes."
"187";"b";26,67;0,000425;"u";-3,689819109;0,873247141;4,29;"t";"t";1;"t";"g";120;0;1200000;NA;1;"yes.";"yes."
"188";"b";41,92;0,000042;"u";3,287768785;0,553643868;0,21;"t";"t";6;"f";"g";220;948;2200000;"t";0;"yes.";"yes."
"189";"b";32,83;0,00025;"u";1,45244753;0,760830892;2,75;"t";"t";6;"f";"g";160;2072;1600000;"t";1;"yes.";"yes."
"190";"b";27,67;0,0002;"u";1,799030229;0,941009196;1;"t";"t";4;"f";"g";140;7544;1400000;NA;0;"yes.";"yes."
"191";"a";35,42;0,0012;"u";-2,37192122;0,871519685;14;"t";"t";8;"f";"g";0;6590;0;"t";1;"yes.";"yes."
"192";"b";21,33;0,00075;"u";-1,417346636;0,991552982;1,415;"t";"t";1;"f";"g";80;9800;800000;NA;0;"yes.";"yes."
"193";"b";40,58;0,0005;"u";-2,285671623;0,74622523;5;"t";"t";7;"f";"g";0;3065;0;NA;1;"yes.";"yes."
"194";"a";41,33;0,0001;"u";-2,01877008;0,781616895;2,25;"t";"f";0;"t";"g";0;300;0;NA;0;"yes.";"yes."
"195";"b";27,75;0,0000585;"y";-0,771959901;0,798952254;0,25;"t";"t";2;"f";"g";260;500;2600000;"t";1;"yes.";"yes."
"196";"b";23,08;0,00115;"u";3,326330942;0,68948312;3,5;"t";"t";9;"f";"g";56;742;560000;"t";0;"yes.";"yes."
"197";"a";57,08;0,00195;"u";2,610505123;0,904213327;5,5;"t";"t";7;"f";"g";0;3000;0;NA;1;"yes.";"yes."
"198";"b";30,83;0;"u";1,344101974;0,818004468;1,25;"t";"t";1;"f";"g";202;0;2020000;NA;0;"yes.";"yes."
